s1,beginning_description,following_from_self,following_from_others
1.3,"女,我和我老公感情出现问题了，他从来不关心我和我们这个家",快十年了 // 他天天陪朋友出去吃喝，我觉得他的任何朋友都比家人重要 // 想离婚 // 可是没有办结婚证,结婚多久了？ // 美女，有什么问题吗 // 你们发生了什么矛盾 // 那，这个从来有点长呢？ // 此时此刻想咨询解决什么？ // 点击我头像加关注选择图文咨询，退到一对一界面，和我对话帮你分析给建议 // 如果决定想离婚，具体程序可以问法律专家 // 有孩子吗？ // 觉得你的真实愿望不是离婚，而是想改善关系 // 如果是这样，可以点我头像，了解我的服务，约我咨询 // 没有结婚何谈离婚呢
1.3,女 男人总是喜欢打牌，经常半夜才回来，说不听，我该怎么办,,他为什么喜欢打牌？ // 关注我，私聊 // 从心理学来讲，男人是女人培养出来的 // 改变你们的相处模式就能改变你的关系状态
1.3,男 婚姻问题咨询，总觉女方有心理问题，希望得到大家的帮助,和她在一起，总是不自然，她始终保持距离 // 试过，难以交流 // 她脾气好大，,你可以说说她的情况 // 你可以帮助她敞开心扉，这需要你真正的去了解她 // 你觉得她的心理问题是什么
1.3,"女,我老公逼我承认我喜欢别的男人？说我是水性扬花的女人？",说我不在乎他的感受？,怎么会这样呢？ // 您的问题不是一两句话能解决的，请点击我的头像，关注，进行电话咨询或者私聊吧 // 你在乎他的感受吗？ // 夫妻多沟通多给老婆你撒撒娇
1.3,女 老公老喝酒，一喝就大在其他没什么毛病。总是感觉不关心我,是不是我要求的太高 // 谁没压力 // 有个笑话醉汉吧小便尿冰箱里真不是笑话 // 谁能受了 // 和他爹娘一起哈都能醉生梦死,他是不是有压力？ // 他可能把喝酒作为减压方式了 // 美女
1.3,"女,到了快结婚的地步，但是总觉得男朋友和自己的生活方式不同",我希望的生活时，两个人在一起要互相的依赖吧，比如说中午休息主动联系我，总是一天没个电话，今天一天没给我打电话，晚上发个短信告诉我要单位聚餐 // 未婚先孕，男方妈妈嫌弃我不避孕，好像怀孕是我一手造成的，跟她儿子没关系,婚前多了解，是对的 // 哪些生活方式呢？困扰你了吗？ // 结婚后，也要懂得经营婚姻，去适应彼此的习惯， // 你觉得你们的生活方式哪里是，不相随的?让你不舒服的呢？ // 欢迎你点我头像加关注 // 美女，可以关注我，我们进一步私聊 // 这个不是，生活方式不同。 // 第一点需要考虑他比较忙。第二点，他认为你们两个人关系，非常确信。自己也是独立自主的人。没有必要诚惶诚恐的维护，感情。 // 这个问题可以沟通交流的，也能彼此理解和适应的 // 可以把你的内心需求正向的告诉他。而不是指责和抱怨，怀疑。 // 美女，有什么不满调整好再走进婚姻里 // 他可能会认为你是可以理解他的，爱可能更多的是意会的而不是言传的，既然是需要相互的依赖，你可以尝试着去给他打电话呀，去主动联系他呀，去吧你内心的想法告诉他，否则他真的不会知道 // 也许她不是说，不给你打电话，可能有其他事情，正忙着呢，可能你所要的，和他想给的，你们两个不在一个频道，其实只要稍作调整，是可以好起来的 // 恋爱多久
1.3,"女,33岁,我离婚了还能调解吗？请大家帮忙，他爸妈老挑播我们。",我心里没底现在 // 挺好的就是因为鸡毛算皮的是才吵起来就离了 // 去年九月份离的 // 我的意思你们调节城了给多少钱都行成不了还给钱阿 // 能成吗 // 有私聊的吗 // 你们能保证吗,调解和好吗？ // 你是怎么想的 // 离婚多久了  夫妻感情怎么样呢 // 成了？ // 心理咨询的性质是先付费 后咨询啊 // 并且心理咨询师和医生不同  不保证效果 // 你们关系问题来自你们的个性，若你的个性是已成长的，那么就不会被他人或父母影响，建议需要先成长自己再来探挽回关系
1.3,女 婚姻不幸福，自己的付出，他看不到眼里，不认可，不理解！,他生理有问题，出去工作他非常不放心 // 可是我们都想生活好点 // 一吵架都是我道歉，为了孩子，为了家！ // 当然！ // 自己现在可累！,他是不是特别挑剔？ // 理解你的心情，可以具体说说吗 // 你渴望被对方认可和理解是吗 // 你爱这个家，是吗？你的付出，也许他看到了，感觉到了，只是没有表达 // 吵架道歉的人都是你，为何要这样委屈自己呢？关系变成这样，两个人都有责任。他的不理解从某种角度上说是你促成的。 // 你道歉是一种维护关系的策略，但这种策略会让你压抑自己的感受。可以暂时保护你的关系，但长久来说对你的关系不利 // 因为潜意识压抑的不舒服，会时不时出来捣鬼。会破坏你的关系 // 这样的话，看上去是他没有看到你的付出，你的感受，而实际上是你自己没有看到自己的感受。 // 我可以帮助您，如果你愿意，可以私信我付费约我电话咨询，我们深入讨论 // 一起成长 // 你做这一切时候  是心甘情愿的去做吗  并且做的过程中有快乐的感觉吗 // 美女 // 你做什么他会看到眼里哪 // 美女，可以关注我，我们进一步私聊 // 我们的付出一定是对方想要的，但是如果对方想要的东西我们难以达到，就要合理表达
1.3,女 老公吸毒10年，我不能和他生活了，但儿子还小，我该咋办？,好同好 // 看到我的问题了吗 // 嗯嗯是了，儿子也大了，你觉得我该离婚吗 // 但是他很依赖我，心里也爱我，对我很好，就是不负责 // 做事不考虑后果 // 你在哪 // 你在吗 // 是要付费的吧 // 是要付费的吧,你想咋办 想带走儿子吗？ // 吸食毒品十年，除非富裕，否则会入不敷出。 // 从某种意义上讲，吸食毒品长达10年的人，他几乎就不算人了！ 通常情况下，这种男人满嘴谎言。 // 点击头像联系咨询 // 我在 // 什么动力让你坚持10年 // 具体咨询 付费 // 长久的痛，不如短痛，离婚。 // 最好是给孩子一个好的生活关键 // 美女 // 在这里简单的交流可能对你的帮助不大，最好可以选择和我电话咨询，我们详细的交流，欢迎订购我的咨询套餐，希望能够尽快地帮你摆脱困惑，可以的话关注我，我们私聊。
1.3,女 无法与家里人沟通，，要怎样缓解这样的气氛，我不喜欢这样,嗯，就是为生活中一些小事情吵来吵去 // 比如我某件事情做的不好，他们都会说上半天 // 而我无法忍受他们这样 // 就吵起来了 // 我对于他们的话说左耳进右耳出，他们说的我知道，但是他们也不用重复着我我的缺点吧，我都已经改了... // 嗯，看上面吧，各位专家 // 嗯,发生什么事情了吗？ // 多大了？ // 具体说说 // 父母能来吗？ // 知道自己哪里可以改进，其他的话就别听了
1.3,女 我13岁了还离不开妈妈，我也不在外面住，我这么大了，怎么办,是 // 和我一样大的，都不家全 // 住 // 我6岁时自已 // 我也不想离开妈妈 // 我一在别人那里住，一到下午开始想，晚上哭，睡不着，刚起开不想 // 在吗 // 自已出去走什么意思,感觉您希望自己独立一些？ // 想独立是好事 // 多与他人交往，让自己走出去 // 你说的是住校吗？ // 同时告诉妈妈，对你关注少一些 // 独立并不是指是不是和父母住在一起，更多的是指自己独立处理问题的能力，住在一起一样可以独立办事，您觉得呢 // 你说的住在一起，具体是指什么？同床吗？ // 离开妈妈，需要一个过程，你可以逐步和同学接触，可以去亲属家锻炼，妈妈来，多鼓励自己， // 慢慢来
1.3,"女,我是女的、老公天天赌博，想离婚，可是老公不同意我该怎么办",,可以咨询法律方面的专家哦 // 只要你想离婚当然是可以的 // 如果你真想离婚，可以起诉离婚 // 你要好好劝他，不能因一时的冲动，苦了孩子
1.3,女 我讨厌我妈妈，我以后当丁克，因为我不想让孩子跟我希望受苦,跟我一样受苦 // 十八 // 可是我妈妈对我影响很大，我厌学也是因为她 // 我知道我终究会和我妈妈一样，这种影响是潜移默化的，还有基因遗传 // 她的性格，她死板，冷漠，粗鲁， // 这种影响是潜移默化，加上基因遗传，没办法了,你年龄多少？ // 你可以不和妈妈一样 // 为什么讨厌妈妈 // 好好学习，等上大学了，再来思考这些问题。 // 你对你妈妈很不满，也担心自己今后像她一样 // 或许你讨厌的是你自己。 // 你可以先做一次咨询看看 // 可改变
1.3,"女,我们的婚姻出现了问题，开始是我后来是他，我们还能好好的么",,出现了哪些问题呢？ // 付费咨询好吗？电话沟通方便 // 感情问题较复杂，不是几句话就能说清楚的的， 老师需要详细了解你的情况，分析原因，才能找出解决方法。我建议你付费咨询，因为电话沟通方便。点我头像，再点图文咨询，与你私聊好吗？ // 美女，你有什么打算？ // 问题出来了，一起看看。
1.3,"女,26岁,我跟我老公之间出现了点问题不知道怎么办了！所以让你帮我",我老公好像变心啦 // 我发现他跟异性聊天 // 没发现暧昧的内容！我看见的时候都删啦！她们是玩游戏认识的！我老公黑白都玩游戏，我发现她们聊天记录是已经凌晨五点多啦 // 你说什么样的人才能聊到凌晨五点多呀？ // 爱玩游戏，而且我不打电话不发信息他从来不主动联系我 // 已经好几天没联系啦！ // 嗯嗯,你和你老公出了什么问题？ // 能说说是什么问题吗？ // 为什么会变心呢？ // 从哪些迹象看来他变心了？ // 有什么问题吗？ // 美女，可以关注我，我们进一步私聊 // 你发现有什么不对？还是有暧昧的内容？？ // 美女，你们最近感情如何？ // 可以详细咨询，帮你评估和改进你们的关系 // 可能你们的关系出了问题 // 这需要谈话咨询讨论，愿意付费电话咨询吗
1.3,"女,23岁,跟男朋友在一起两年了他的家人不同意我们在一起另我很烦恼",说嫌我矮 // 他现在的意思是要跟我分手 // 他说他没有办法我该怎么办 // 肯定是想的啊 // 他不想去跟他家人吵就想跟我分开,不同意的原因呢？ // 你和你男友做了那些努力呢？ // 男朋友是什么态度呢？ // 你们感情可以，就需要男孩的坚持和努力 // 你的问题不是几句话就能说清楚的的， 老师需要详细了解你的情况，分析原因，才能找出解决方法。免费文字交流很难解决你的问题，建议你购买服务，电话沟通。如果你信任我，点我头像，再点图文咨询，与你私聊好吗？给你留言了。 // 你想挽回吗？ // 他什么态度 // 美女，家里反对原因是什么
1.3,男 我打了老婆她一年前就离开我了，到现在为止我都不知道错在哪里,我不同意王国华的说发 // 你们不知道我事实怎么就认为我错了，难道女人杀人也对的吗 // 我很不好因为打了女人 // 哦，就找你吧 // 手机 // 恩 // 我知道 // 你是来说亲的吗 // 呵,为什么要打老婆呢！ // 你打她就是一种错误方式 // 你不知道她为什么离开你？ // 你动手打你老婆就是错啊 // 你为什么打她呢？，打她本身就是错误的。 // 你打了老婆，知道自己错在哪里吗 // 感情问题较复杂，不是几句话就能说清楚的的， 老师需要详细了解你的情况，分析原因，才能找出解决方法。我建议你付费咨询，因为电话沟通方便。点我头像，再点图文咨询，与你私聊好吗？ // 也许你觉得打人是有原因的，不过选择打人的方式是不可取的，还有很多解决的方法 // 找个咨询师好好聊聊，帮你好好梳理一下，这样才能找到问题的根源，将来能更好的应对感情生活 // 你可以点击我的头像，进行系统咨询 // 先点击我的头像，我私信给你啦 // 事情过去一年了，你还没放下啊？ // 你是用手机，还是电脑的 // 你为什么打老婆呢？原因是什么呢？ // 你为何会打她呢 // 关注我，私聊 // 老婆爱玩手机吗？ // 暴力在婚姻中是不能解决任何问题的，只会让问题越来越糟糕 // 其实可以理解当时妻子也一定有不对地方，你才会打她的。 // 一定不是无缘无故的 // 帅哥
1.3,女 跟老公分居了，还能继续吗？有孩子了，他心里现在已经没有我了,因为他跟他嫂子暧昧不明，然后我骂他贱了，就把我撵走了 // 结婚不到两年,因为什么分居？ // 美女，你们结婚几年，有什么矛盾吗？ // 他心里什么原因没你了？  有别人了吗？ // 点击头像 具体深入咨询 // 很可爱的孩子，可惜缺了父爱，理解你的心情，你了解丈夫为何会和你分居吗？两个人是不是有发生些矛盾过？ // 分开多久了？
1.3,每天很烦恼，什么都不想干，天天在家带孩子，基本天天和老公吵架！,不是匿名的吗？,很理解你的心情，愿意和我详细聊聊吗 // 美女，你多大了，结婚几年，有什么心事吗？ // 有没有想通过咨询来探索自己？ // 你的情绪来自哪里 // 如果需要，可以私聊的 // 点击头像，再点击图文咨询 // 帅哥，方便的话可以关注我，我们进一步详细的交流
1.3,女 我无法形容这段婚姻，想放弃，若真放手了又感觉心里空空，怎么办,,结婚多长时间了？有孩子吗 // 感觉到你内心的矛盾，和纠结，面对现在的婚姻发做出合适的选择让你难过，是吗？ // 很让你头痛啊 // 我也有一样的问题
1.3,女 老公老是骂我，有时候还打我，但我从来没骂过他，我不知道怎么办,一般 // 三年 // 心情不好 // 我说话没顺他心 // 有时他说错了 // 去年 // 去年一年几乎两三天 // 他脾气很暴躁 // 我怎么说也不顺他心 // 他打了我我不能还手 // 有时候他还那刀 // 父母有心无力,家庭暴力 // 你们感情怎么样 // 你需要得到法律援助了 // 你们结婚多久？ // 老公为什么家暴呢？ // 你们结婚多长时间了？ // 想法改善关系 // 他在跟你说话的时候你不理她是吗？ // 有时要先顺着他说，然后再提出自己的观点 // 第一次家暴发生在什么时间呢？ // 那么你们的沟通是存在问题的，不是处在同一个层次上，你对他的态度让他觉得不舒服感的，所以他就暴力解决问题了。 // 建议你做一个详细的情感咨询。 // 你很受伤，同时又想帮助他是吗 // 亲，你现在有什么想法呢 // 他打你之后，你一般会做出怎么样的反应呢？ // 这不是你的错，你需要守住自己的界限 // 父母知道吗，他们有什么建议
1.3,女 我在妈妈手机上看见她和别的男人暧昧信息了，作为女儿我该怎么做,就不舒服了，又不知道怎么去处理这件事 // 想和妈妈聊聊问问她到底是怎么回事 // 可我又怕伤害到她 // 我就想问怎么样可以处理好这件事 // 请问对待这种问题要怎么处理才好 // 而且也不伤害彼此 // 最少知道她是怎么想的，怎么看待的吧 // 我在请教你怎么做呢，我就是不知道怎么做才来咨询的 // 所以我不知道怎么办啊,你有怎样的感觉？ // 如果跟着这种不舒服，你最想干什么？ // 看来你比较理智 // 跟妈妈谈能够起到什么作用？ // 或许妈妈不想让你知道 // 你父母关系怎样 // 美女 // 先调整你自己
1.3,"女,男朋友爸爸不同意我们在一起，我们在一起快3年了，我们彼此很相爱",还想跟我男朋友继续 // 但是他爸爸死活不同意我们 // 还需要付钱,你怎么想？ // 你男朋友怎么想？ // 不同意的原因是什么呢 // 关注我，私聊
1.3,"女,我该怎么样拯救我的婚姻？男人对我没有感情了。说对我只有愧疚了",我该怎么办？他已经彻底的跟我说要离婚了。我感觉我已经没有任何希望了。 // 问他他就直接说不想跟我在一起了，我说孩子怎么办？他就直接问我怎么办？ // 他都已经这样了，还能挽回吗？他现在都跟我分居了。不愿意跟我在一起生活,从对话看，你们的问题，主要是处理冲突的方式不恰当。不知还有没有其他原因。需要具体咨询才能了解 // 对于你的遭遇，我很理解！ // 一个完整的家庭就这样破坏掉了吗？ // 应该会有挽回的机会，帮你具体分析，点击我的头像，电话咨询 // 即便是分居了，即便是冷静了好多次，你们之间还是有可能的。 // 很理解你的心情，这需要详细了解 // 他这样你认为是什么原因呢 // 看到您的留言，感觉你还是，愿意挽回的。建议您做个情感修复咨询。婚姻是两个人的事情，如果两个人都不努力，也许就无法挽回了。 // 你现在需要把注意力放到自己身上。来了解自己，成长自己。 过好自己的生活。生活还是你的，孩子也是你的。你没失去什么。男人如果要做，我们要尊重他。 // 我可以帮助您，欢迎您点我关注，约我电话咨询，我们一起成长
1.3,"男,我婆婆把我老公怀孕的小三带回家，我应该怎么办，我孩子还不到一周",,你和婆婆关系怎样？你的孩子是男孩女孩 // 你和老公的关系如何 // 你希望我们怎么帮助你呢 // 他什么态度 // 美女，你老公怎么说？
1.3,男 心理发闷，空虚。家庭不和睦，老是因为孩子的事情吵架。心理憋气。,,帅哥，你多大了，结婚几年，吵架结果如何。你们的问题解决了吗？ // 很理解你 // 愿意和我详细聊聊吗 // 夫妻关系是一个家庭和谐的基础 // w很愿意帮助您，给你留言了 // 夫妻关系问题不是几句话就能说清楚的的， 老师需要详细了解你的情况，分析原因，才能找出解决方法。如果你信任我，点我头像，再点图文咨询，与你私聊好吗？给你留言了。 // 一般因为孩子的什么事情吵架呢 // 两个人的想法其实都是很好的，可不可以做一个良好的沟通呢，需要的话可以和我做付费咨询 // 这问题得面对才能解决 // 因为孩子的事情，谁和谁吵架？ // 家庭关系的处理是需要策略的 // 孩子多大了？教育孩子有分歧，是吗？
