s1,beginning_description,following_from_self,following_from_others
1.3,"男,48岁,老婆爱上了别人怎么办，但还没有性的接触，聊天记录老婆已经发出了表示崇拜并且喜欢他，我该怎么办",老婆爱上了舞友，今天我警告了对方，专家认为我做得对吗？我真的不知如何处置,你给老婆的感觉是怎样的 // 你应该和你老婆沟通，一起修复感情关系。你可以点击我的头像，一对一咨询。 // 请问你是否愿意去修复你们的关系呢 // 我认为你需要关注到你自身的成长，让自己不断更新，让妻子有了解你 认识你的欲望       让自己 有更多的爱的能力。 如果你 愿意，可以点我关注，私聊，预约我的电话咨询 // 你好，你好，，你好！ // 如果只关注对方是否爱上别人，忽略自己的努力，事情只能朝着，自己不想要的方向发展了，如果你想要什么结果，可以朝自己想要的方向努力，如果不知道怎么努力，可以问问自己的心，有需要可以预约我的电话咨询 // 感觉你有些慌张，可谈谈。good luck! // 帅哥
1.3,我老婆坚持和我离婚，我坚决不离婚！我们双方没有外遇，吵架之后长时间冷站。她从来不说自己身上存在问题，请求援助！,是，她性格内向，牛脾气。 // 平时脾气可以，上来牛脾气，8头牛都拉不动！ // 是… // 她是一根筋的女人 // 考虑过的，想和她好好谈一下，她就是说自己心死了，要离婚。 // 考虑过的，想和她好好谈一下，她就是说自己心死了，要离婚。 // 我感觉沟通起来太难了！ // 是针峰相对的！ // 结婚以后开始闹矛盾的 // 现在我已经搬出来住了 // 要付费的，是吗？ // 她根本就不和我好好的谈离婚,你们双方的性格好像都比较硬 // 是的，双方都比较硬，导致你们双方不断的争吵，冷战，这是对感情伤害最大的方式。 // 我们对她的一根筋，一直是针锋相对的是吗？ // 出现问题，可能都不是单方面的问题，不知道你从这个角度有没有思考呢？ // 你跟他一样。有什么感受？ // 你们以前感情如何，从何时开始有矛盾的？ // 她说你明你们中间问题，说明你们婚姻内的问题沉积太多，如果你不打算离婚的话，就要针对这些问题，找到有效的方法去解决，才有效解决你目前的困扰 // 建议点击我头像，私聊，更好的帮助到你，好吧 // 在这里咨询是不用付费的，如果深入的分析解决，是需要付费的。 // 没有复合的可能，是什么让你在坚持呢？ // 那你和她检讨自己问题了吗？ // 彼此不相容的地方即可以成为你们的吸引彼此的优势又可以成为彼此排斥的地方，怎么看待很重要。建议你们共同的咨询下，协调下关系 // 女人离婚的原因并不是你看到的那些，还有原因是她潜意识里的。 // 结婚多久了？有孩子吗？一般为何吵架？ // 是否愿意改善关系呢？可以关注我，多聊一些
1.3,"女,老公玩心太大，他性格外向，朋友很多，由于工作很自由，一有时间就打麻将，钓鱼，喝酒等等，怎么让他把心放在家里呢？",可以这么说吧，我希望他多些时间陪我，但是有时间，他出去玩，也不在家里待 // 我如果跟他一样，天天跟朋友出去玩，那我们待在一起的时间就更少了，彼此沟通也少了，时间长了不会出问题吗？ // 我是个极度缺乏安全感的人，他在家，我的整颗心就在家，他一出去，我就心不在焉的，老是担心他， // 我有时候觉得很不公平，凭什么男人就能天天出去跟哥们玩，女人就要在家带孩子，做家务，等着他回来？ // 27岁,你是希望他爱你更多些吧？ // 他可以把自己活得轻松自在，你也可以的。当你活好了吗，他好奇你的开心就回来了。你说呢？ // 那是你内心的害怕与担忧，这才是你们关系的问题。需要点老师关注，电话咨询交流。 // 并不是只有出轨才是唯一的背叛！ // 不平衡的关系，是很可能会走向关系的陌路。建议尽早协调好关系的天平。具体可以咨询我 // 美女，他多大了？
1.3,雨后的深夜，丈夫扔下我独自回家。心里的寒风从头顶直灌到脚底。不知以后怎样对待我和他之间的感情。感觉那么多年都在被欺骗,刚同学聚会打牌回家 // 男人这种行为是因为他不爱我吗 // 平时有点迀就他 // 平时有点迀就他 // 跟老公是同学 // 当时回家感觉他可能也觉得自己做得过分,当时发生了什么事呢？也可以私聊的 // 要化解您的问题，您需要先认识一下我，先去浏览我的资料，点头像之后，一步一步操作就能看到。。帮助您化解问题，需要心理学理论+咨询师的个人阅历+资历，同时也需要您付费，因为您付费才表明您的问题需要化解。 // 你们之间发生了怎样的矛盾呢？ // 那时你们之间发生了什么呢？ // 感受到您发心底的心寒与绝望，不知道你们之间发生了什么？ // 给你留言了 // 也许是他对你在同学聚会上的表现不满意。 // 人可能做错事，但动机没有错，你感觉他的动机什么呢？ // 点我头像关注，详细咨询 // 点我头像关注，详细咨询 // 负面的东西我无需再给你了！ // 他的表现符合男性处理问题的特点。 // 他生气时就是一个任性的男孩 // 有些时候我们的某些应对方式会让男人产生一种心理，就是觉得他无论怎么做我们都不会反抗。婚姻中平等相处，平等的沟通是我们必须要具备的，这些我可以帮你分析指导。 // 丈夫扔下你时，你是怎么做的，以后你表达过自己的不舒服吗？平时你们相处怎样呢 // 如果这是你一直想不明白的地方， 那这件事中的情景，处境，一定是勾起了你的某种情绪，而这种感受，以及涉及这种感受的深层原因，以及底线之类的，是需要咨询处理的，有需要可以预约我的咨询，点我头像进入，可查看我的资料 // 看来你们的夫妻关系是出现了一些问题，建议你点击我头像，私聊就这个问题的帮助你好吧 // 可能他还不成熟 不知道如何爱护女人。 // 都被催眠了，点燃了每一个人的共同遭遇了都兴奋了。，是要来做心理咨询吗？付费咨询吧， // 你的这个遭遇多久了？ // 现在都又接受免费咨询了？ // 要化解您的问题，您需要先认识一下我，先去浏览我的资料，点头像之后，一步一步操作就能看到。。帮助您化解问题，需要心理学理论+咨询师的个人阅历+资历，同时也需要您付费，因为您付费才表明您的问题需要化解。 // 我们要从关系的角度  从互动的角度  去理解一个人的行为。老公之所以这样，我想，他也有他的原因的。 愿意和我具体聊聊你们之间的事情吗   欢迎您点我头像  私聊 电话咨询 // 你需要他对你的爱与关心，以及重视。透过这件事，让我们看到了，我们的内在深层的需要，学习爱自己，学习表达自己对爱的需求。 // 你在这想得到什么？ // 听起来你很委屈，详聊请点击我的头像关注我
1.3,请问我现在一回家看见我老婆就会反感是怎么回事 但 我在外面没有情人  只是我们经常吵架  会不会因为我们经常吵架慢慢积累的恨,反感她说话 // 有一个女儿，又不想离婚 // 但是每天回到家里面总感觉有些事在心里面怪怪的，会不会因为经常吵架 // 我两个都是要强的人，某些时候都不愿意低头 // 每次闹矛盾我老婆总是 // 说的话很难听， // 怎么解决 // 只要我和其她女人说话回家就会大吵   像这样会不会她有点过了 // 只要我和其她女人说话回家就会大吵   像这样会不会她有点过了,你主要反感她什么？ // 为什么总吵架呢？ // 是的，因为吵架积累了恨，需要学会正确沟通，调整夫妻关系 // 吵架太多了。 // 看来你们夫妻关系出现了一些问题 // 她的那些方面让您讨厌了 // 作为你来说对你们的婚姻你是怎么看的呢？ // 反感她说话的内容，语调，语气吗 // 你们之间可以正常沟通吗？是谁先吵的 // 不想离婚，可以尝试改变， // 既然不想离婚，需要对你们的婚姻关系，做认真的思考，看看问题究竟在哪里？ // 你们最初为什么事，争吵 // 建议你点击我的头像，私聊就你们的婚姻矛盾，做有效的帮助，好吧 // 可能形成了一种惯性模式，你会习惯性的对她的话语反感，建议具体咨询，找到新的合适的模式进行反应和沟通。 // 是对那种家庭氛围的一种条件反射。 // 你们婚姻启动了争吵模式，虽然知道不好，但它成为一种沟通习惯。做一下婚姻亲密关系调整与提升吧。 // 不舒服的感觉如果一直没有被关注到，它的确会有一个积累的过程 // 我可以帮助你解决这个问题 // 你看到你老婆就会想到吵架，所以反感 // 我们处理问题的方式有需要改变的地方。
1.3,"男,我原来失败过、现在的老婆一直说我骗他、我做什么都是错、一点信心都没有了做什么、我害怕失去他、因为我爱她、我该怎么办",就是怕失去她、 // 有谁可以帮助我、让我自信些,失败过什么？她为什么说你骗她。还有你很依赖她。 // 可以购买服务电话沟通咨询。 // 嗯。那我需要了解你的情况。购买服务电话沟通。 // 你认为自己的能力怎样，你感觉老婆常常打击你的自信心，是吗？和她沟通过自己不舒服的感觉吗？ // 自己不坚强，女人就更不会爱你。。 // 有了自信你就不怕失去他是吗？点击我图像购买电话咨询服务即可。
1.3,"女,我想请教下大家，我不是经常回去爸爸那，一年去个三次的样子，为什么每次难得回去一趟零花钱就给200。小康生活。真的搞不明白",,您多大了，为什么不和爸爸在一起呢？ // 美女。 // 你多大了？ // 如果你没成年，爸爸又抚养义务。亲人之间感情在处，不是简单的血缘关系。 // 你的妈妈呢 // 看来你和爸爸的关系是有问题的，你对爸爸有一些愤怒 // 可以多谈一些。 // 你觉得给钱是你的困惑还是你们的关系让你觉得更困惑。如果关系到了一定程度是不是钱就不再是问题呢？ // 有提过零花钱给的太少吗 // 冒昧的问句：爸爸是再婚了吗？
1.3,我结婚己3年现在还没有小孩老婆提出离婚原因就是她怀了就没用我现在不知怎么办如果离婚要赔偿吗？我老婆是二婚还有个小孩我不是,担心赔偿,你担心赔偿啊啥？ // 你在担心什么 // 妻子提出离婚，因为怀不上孩子是吗? // 查过是什么原因了吗 // 查过是什么原因了吗 // 离婚，没有赔偿的说法
1.3,医生你好 我跟我老公在一起吵架的时候我就像一个有精神病的人一样傻笑 还哭说一些奇怪的话请问我如果在不离婚是不是就成神经病了,经常一天吵一次甚至几次 // 我自己知道我自己像个神经病一样就是改不了一那样就自然发了 // 应该是的以前不是这样就最近几次是这样的 // 谢谢医生 // 那我应该离婚吗 // 我愿意 // 但是我是那种他一来哄我我就好了的人虽然心里还是很难受但我不会说出口 // 我总是躲着他哭他却说我从来没为他哭过我在他面前哭我怕他看到难受所以才躲着哭 // 我总是躲着他哭他却说我从来没为他哭过我在他面前哭我怕他看到难受所以才躲着哭 // 我对他的要求太低太低了我背着父母的反对跟他在一起 // 我付出的太多 // 他就像个永远长不大的孩子一样 // 我担心他看见我哭他心里难受 // 是 // 说实话结婚一年多了他从来都没了解过我 // 人人都有缺点没有十全十美而他只看到我的缺点 // 有的人说爱你的人会把缺点都看成闪光点所以我都在怀疑他到底爱不爱我,你自己知道自己的表现是吧？ // 经常吵架吗？ // 因为吵架伤害太深了吗？ // 不吵架可以吗？ // 这不是精神病，只是情绪失控而已 // 吵架让你非常的心寒，所以才有那又哭又笑么？ // 从你现在的情况来看，你成为精神病的可能性不大，，，，但能看出，你和你老公吵架的过程中，你的情绪波动很大，心情很郁闷，，，若不改色，会影响自己的心理健康，，，也会影响两人之间的关系 // 你愿意改正自己的沟通模式，不再吵架吗？ // 面对这样的吵架场景，你放弃了继续挣扎。 // 美女 // 点我头像，点图文咨询，与你私聊好吗？ // 先成长自我，再在改善沟通技巧。离婚，只是迫不得已的解决方式。 // 感情问题较复杂，不是几句话就能解决的。如果你愿意付费咨询，老师可以帮助你找出吵架原因，教会你正确的沟通模式。 // 如果再不治疗会出状况 // 因为我们对老公抱有很高的期望，老公没有满足我们的期望，我们就爆发了 // 你和他的沟通出现了障碍，你心里想的，他不知道。你背着他哭，他不知道。你为什么不直接告诉他？不直接在他面前哭呢？你在担心什么？ // 压抑太多情绪，就会莫名的爆发。 // 你付出太多，长期付出，得到太少，失去了平衡，这样你会难受，也会影响你们的关系 // 先成长自己，很多时候，我们需要处理的是自己内在关系问题 // 婚姻不平衡导致你心理不平衡 // 你怕他难受，就让自己难受？？？ // 你还是在乎他的，你感觉他看见你哭，会难受，是吗 // 你不要被他了解你吗 // 如果你愿意付费咨询，老师详细帮助你详细分析吵架原因，找出解决问题方法 // 问问自己的心，有没给过机会让他爱你。系统咨询，亲密关系的咨询。 // 看起来，不是你担心他看见你哭，所以你不让他看见你哭，那样怎么了解你呢？，你说他不了解你，而你自己也在回避让他了解你 // 为啥吵架。
1.3,"女,老公脾气超级犟，没有当面跟我说过离婚，但是跟公婆说了不可能在跟我过下去了，还说再跟我过他就去死，我还能挽回这段婚姻吗？",我现在是哺乳期，他不能提离婚 // 他没亲口跟我说，但是他又不见我，一直躲着我 // 我还能挽回他吗？,只要没有当面给你说离婚，就不要太焦虑，现在重新审视一下两人的相处关系，及时调整！ // 你们之间发生了什么矛盾，他会觉得不和你离婚，就会死啊 // 他给他父母说的，可能含有有演绎的成分，未必是真相，同时这些话已经给你敲响了警钟！ // 如果  你的困扰还没解决，可以约一下我的电话咨询。我们咨询中具体讨论 // 他脾气那么犟，但你还是想维护好家庭 // 他在父母面前说离婚的原因是什么？ // 关键是要解决你们之间的矛盾 // 如果不解决这些的话，你们的婚姻会和谐吗？日子会安稳吗？ // 你既然想挽救这份婚姻，那么就要，找一找引起你们这样情况出现的原因所在，是吧？这样才有利于解决，你婚姻内的矛盾是不是呢？ // 你认为你们的问题出在哪呢？ // 已经留言你了，请退一步看一下留言！ // 他没直接说和你离婚，就好好相处。不要提这个。 // 你好，你好，，你好！ // 事在人为
1.3,怎么挽留婚姻，媳妇老说要和我离婚，说和我过没有自由，她天天溜达去，一走就半天，和上班是的，回来时我就问问，她就生气，怎么办,,你不能满足她的需要，比如，情感的需要，你不够体贴 // 她没工作是吗？ // 你们之间沟通有问题，而且婚姻中缺乏界限 // 你对媳妇的这个行为有怎样的想法呢？你看到媳妇生气时 你是什么感受呢？ // 如果不方便说 可以点头像 关注 私聊 // 她要的自由是什么状态呢？你有能力给她吗？ // 关注但不查问
1.3,"女,结婚五年孩子三岁半，老公外面的小三跟了他快三年了，不离婚，就这样想要两个家！说两个都爱，太煎熬了该怎么办！我放不下我的孩子",我希望他回头照顾好家跟孩子，可是他跟外面的女孩很相爱！,你是怎么想的？ // 我们心里想过怎样的生活呢？ // 我们心里想过怎样的生活呢？ // 嗯。我们自己带着孩子生活会如何？ // 两个都爱，你怎么选择比较重要 // 这是婚姻中的禁忌，我可以帮你化解 // 注意收集他有小三的证据，如果以后离婚的话可以帮到你。 // 三年来，你怎么煎熬过来的，感觉非常不易 // 美女 // 已经进入僵持阶段，具体改如何应对，请点击关注我！ // 你还爱老公吗？你还想要挽救婚姻吗？我可能帮助你！ // 两个家都想要其实就是在说吗？看哪个更好。 // 你会幸福吗，这样。 // 就知道怎么做。
1.3,各位老师好、婆婆有个习惯、爱给我老公买个秋裤毛衣呀、买也行、嘴上非叨咕她为什么买、他儿子一天有多冷、一家之主、得保护好、太烦了,这阵子她身体不太好、来我家了、今早我就这个事把她说了、你想好你来我家是做什么的、是来养病的、别管别的事了 // 我这样好不好 // 我这样好不好 // 段老师说的对、我就是这感觉 // 为什么不好、 // 这话已经很客气了、 // 她只是这个事情象心疼儿子、其余时候全是折磨他儿子 // 王宇老师为什么这么说？ // 我要是能理解就不生气了 // 张老师、她不是这样的、你她买就买、但不要挑战我 // 老公对我很好、已经站我这了、我说完婆婆、老公赶紧说说的对、那我也生气、你搞明白这是我家、别干涉内政 // 我希望她只负责吃饭 // 别惹我 // 那二个人是不可能咨询、我也没问题 // 孩子16 // 老公的意思是尽量凑合、她也改不了 // 我44 // 我嘴巴不甜倒是真的,你婆婆比较疼他儿子。 // 嗯嗯。婆婆这么说的时候，我们内心可难受了。那感觉就像是只有你会疼你儿子，我好像不爱惜自己的老公似的。 // 你这样说也不是太好。 // 你婆婆要是不管，会病得更严重。到时受气的还是自己。 // 这种性格的婆婆相处讲究技巧。 // 用母亲看孩子的眼光看你婆婆对你老公，多互相理解一下。 // 这是夫妻关系不和 迁怒与婆婆的干预 // 婆婆爱唠叨，但是老公的妈妈也就是自己的妈妈，如果自己妈妈唠叨还会这样想吗 // 就像一个银行账户，多一个人帮助你往里存款，好不好 // 王宇老师分析很有道理哟。如果爱人更爱我们一些，我们也愿意更多包容些。大概这个时候的爱，出不了什么力，所以我们更恼火些。 // 这状态下的爱人有心无力。结果成了两个女人的战争。 // 这状态下的爱人有心无力。结果成了两个女人的战争。 // 你的着眼点，可改变一下啊。 // 其实问题在你老公，他做的好，问题就解决了。 // 夫妻婆婆三角关系，需要系统深入咨询干预调整。 // 亲，老公是什么态度呢，他的想法是什么呢 // 那是你的期望，比较难实现。我们得从内在转化自己，才能调解关系。你们结婚多久了？有没有孩子？ // 你多大了？ // 婆媳不和应该不是一天了，而是长久依赖积压了，很多矛盾和不满。 // 嗯。老公也许还会跟你说，再忍几年就好了。我们好像一天都难忍下去了。 // 长久以来 // 碰到的婆媳关系案例中，媳妇儿都希望婆婆改变，但没有一例是婆婆先改变的。但有一现象，媳妇儿转化后，婆婆也变好了。 // 你的领土你有心捍卫主权，这个心理有就好，不必说出来，容易伤和气，既然人在你家，和气为贵，一样费事，嘴巴甜点，大家都开心，你老公会更赞赏你，依赖的层次太低，让他发自内心的赞赏与认可，家庭关系会更亲密，你的领地，如何繁荣稳定还是你来决定，你觉得呢，美女？ // 其实你走入一个误区，这个误区不避开，你内心的不舒适感无法消除。 // 你需要听听男性的分析 // 点击我头像看我留言
1.3,最近跟老公感情不是很好，总是吵架。可是每次吵架，他作为一个男人从来不主动了跟我说话，不管是谁的错，从来也不会哄我。我感觉很绝望,都是要交费咨询呀,我们需要了解对方是不懂得如何跟我们交流，还是不愿意与我们很好的交流。 // 其实不管是哪种，在我们愿意为自己的幸福负责，我们尝试着去学习沟通与交流，景象便在变化中。 // 美女，你们结婚多久了，这样的状态你如何应对的，除了伤心失望的情绪外，你是否尝试了其他方法呢，效果如何？ // 你对爱人的情感表达方式不满意，对婚姻得失望。那你希望爱人具体如做呢？ // 亲，我们需要体会一下吵架的目的是什么，似乎没有解决实际问题，是否考虑过调整下交流模式了呢 // 可以帮你调解。 // 在你们的婚姻中，我们有着不切合实际的期望。而且我们的婚姻观也存在一些问题。 // 为什么吵架 // 是否可以用更成熟的状态面对这样的局面呢，欢迎咨询我。
1.3,"女,为甚么老公不亲口跟我说要离婚呢？他一直躲着不见我，也不跟我联系，公公婆婆说让我做好被他抛弃的准备，还说他不可能在跟我过下去了",他到底是在逃避，还是他其实内心也不想跟我离婚呢？ // 真让人搞不懂 // 他跟女人聊暧昧，我就跟他吵架跑回娘家了 // 我吵架说要离婚 // 男人的心里到底是怎么想啊,你们之间发生了什么？ // 能感觉到你对老公有一种愤怒的情绪 // 可能老公也感觉到了，他可能也不愿意面对我们的 不舒服的情绪，所以一直逃避。 // 所以 要解决我们先解决的问题，希望老公能愿意见我们  和我们说话，还是需要先化解我内心的不舒服的情绪。  如果我们带着情绪沟通，很难达成一致 // 我可以帮助您。 欢迎您的预约。 // 你见了他，打算怎么做？ // 你见了他，打算怎么做？ // 我下午  1点半到 3点半之间有预约。  其他时间还可以约。 // 老公不见你，让你的公公婆婆代言。这你想不通。 // 老公不见你，让你的公公婆婆代言。这你想不通。 // 老公不见你，让你公公婆婆代言，真让人想不通。你不知道他究竟是什么意思。 // 你们之间发生了什么事情？ // 接受当下所发生的一切，这是对自己而言最好的选择。 // 发生了什么？
1.3,就比如我爸总是让我老公给他干活，可是老公不愿意觉着父母不重视他，他希望我爸能花钱雇人干，我无法开口跟父亲提这件事，我是不是有病啊,不影响 // 老公有问题 // 这是免费咨询吗,你爸让你老公做的活影响了你老公的工作吗 // 你觉得这是你老公的问题还是你爸爸的问题呢 // 这里咨询是免费的，一对一深入咨询是需要付费的
1.3,"女,结婚一年，跟老公家人合不来，偶尔根老公抱怨他爸妈的不对，一直都是迁就我，站在我这边，好像最近开始变了，开始不再帮我了。怎么办。",,你的问题需要选择你信任的付费帮助，先看看我的资料， // 你试着迁就他爸爸妈妈试试。 // 我在一对一界面给你留言了， // 你和老公家人关系的和谐程度，这可能会影响到你们夫妻关系，学习处理这些关系技能，才能处理好家庭关系，让家庭更和睦，夫妻关系更美好！ // 可以点击我头像，私聊，帮助你去找到，有效的解决方法，好吧 // 你老公需要在你和家人之间找平衡。 // 不会长期无条件的迁就你。 // 你也需要多站在你老公的角度，替他着想。 // 婆媳关系是最难处的。我们一直抱怨，肯定没有人能长期地承担，我可以帮你找到问题的根源，改变自己，学习沟通的技巧，然后做一个好妻子好媳妇。 // 姻亲关系处理不好，直接影响婚姻关系！ // 关系需要经营。 当我们抱怨公公婆婆的时候  其实   老公也会不舒服 // 婚姻是1个人与另1个人，1个人家庭与另1个家庭，1种生活方式观念与另1种生活方式观念的结合。新婚第1年处于磨合期，希望能够给予您，新婚磨合期的婚姻指导！ // 当你抱怨他父母开始的时候，关系就开始有隔阂了，这里面有家庭的规则，涉及到的都是关系的问题，处理不好很容易导致关系破裂。 // 抱怨，要迁就多久才能填满这不满呢？ // 换个角度，如果他也不断抱怨你的父母的时候，你会有什么样的感受出现？值得思考。 // 迁就了这么久，这不满变化是怎样的呢？减弱了，还是增强了呢？ // 现在他不迁就了。你对他的决定是否满意 // 这范围在扩大，还是再减小呢？ // 联系我们这里的咨询师，系统的咨询吧！这种情绪在家里蔓延需要努力，才会转成和谐 // 加强和老公的情感链接，对处理婆媳关系更有利
1.3,"女,我和我老公结婚三个月了，我养了他三个月 天天沉迷游戏，好吃懒做，上班也是三天打鱼 两天晒网，我们生气，也从来不道歉，给他好多机会都不改",不知道，我们相亲认识的，算是闪婚吧 // 就爱好打游戏，抽烟喝酒 // 我想离婚 // 也想听听专家的意见，现在没有小孩,恋爱时 你知道这些吗 // 比如男友的爱好和性格？ // 现在你是怎么想的呢 // 那你咨询是想解决什么问题 // 他有工作吗 // 闪婚的理由是什么？婚前他也是这样吗？ // 好好想想自己的婚姻，你需要什么 // 看看他有可能改变吗，给个就会。如果不能就离开吧 // 结婚前不知道他的情况吗？ // 对于这样的婚姻关系我们下需要重新考量，之前，对他们有一定的了解吗？你老公身上得很多习惯是缺乏责任感的表现 // 好多人啊
