s1,beginning_description,following_from_self,following_from_others
1.3,男 和老婆分居两个月老婆晚上经常出去玩对我不理不睬一句话都没说！,调节不了。 // 他对你不理不睬一句话也不会说不行啊！ // 我真的不想过下去了。 // 是的,微笑] // 这样下去不行的。需要调节。 // 那你是什么感受呢？ // 我们需要调整好自己的心态 // 帅哥 // 那相处模式肯定会有问题，你老婆也能放下你却不能放下。或者说你老婆在考验你，气你，你一直很纠结 // 你不想过，是因为她这样对你的时候，你很难受 // 愿意电话咨询和我谈谈吗 // 可以电话谈谈。 // 是闹矛盾分居的？
1.3,"女,我和老公这些年一直冷战，也没有夫妻生活这样的婚姻到底要不要？",但是孩子今年初三，我很矛盾， // 三四年了 // 已经整整五年了！ // 期间断断续续，时好时坏，夫妻生活几乎没有！ // 今年孩子中考结束后我不能再这么下去了 // 结果16年了 // 我也尝试很多种方式，也反思自己的，但是没有用， // 很烦，连现在说起来都嫌烦，不愿多想，感觉就是一本烂账， // 所以每晚就听音乐麻痹自己， // 要么就听书打发空闲时间,这是一个选择题，你怎样选择都没有关系。但关键是要为自己的选择负责到底。 // 多些年了 // 有很多夫妻如果磨合不好会出现这种情况 // 很理解你纠结的心情 // 五年没有性爱的夫妻？结婚几年？ // 如果您愿意咨询改善夫妻关系，可以关注我，方便时预约我电话咨询 // 你的问题需要深入系统地咨询 // 美女
1.3,"女,老公不让出去工作，不让与外界联系，希望我把家里打扫的一尘不染",美其名曰养着我……对我好……但是又家暴！必须全听他的，一点不合适都不行 // 结婚半年，是再婚的,多大你们？结婚几年？ // 此类问题事关重大，最好做一个正式咨询，以便帮你全面梳理问题，找到应对方案 // 美女 // 你真的变态，请不要冒充别人，这样很有意思吗？
1.3,男 这么晚不知道还有人在吗 和媳妇吵架 都是小事 但是就是感觉过不去,你们为什么还不睡 // 这么晚打扰 // 其实我就是想说说话 // 生活中都是小事 没什么原则性问题 但是折磨人 // 其实我也知道晚上不应该吵架 很折磨人 对她休息和心理都不好 // 但是胸口一直憋闷 睡不着 和她实说换来更大的不满 抱怨 我受不了就出来了 // 现在还担心她害怕 // 生气说话是不是都很重 但是我当真 结婚快四年了 刚还说过不下去 越来越觉得没味 // 这段时间老吵架 周一吵完 周五又来了 // 其实我是内向 即使吵架也是暗气暗憋 // 说不出来 // 而我媳妇是说话跟机关枪似得 哪疼往哪说 // 有时听着快炸了,嗯 // 有共同目标，才会更团结
1.3,男 我老婆跟她前夫有个小孩，因为小孩，我老婆要跟我离婚，怎么办啊,我真的不想离婚,你们结婚多久了，有孩子吗 // 对自己很重要的问题，最好选择正式咨询进行系统解决。点击我的头像可进入预约页面。谢谢您。 // 很好
1.3,男 心思总是不能放在学习上，经常和父母闹矛盾，还总是喜欢和异性一起,16岁，早恋 // 不能恋爱 // 是的，我成绩不好，父母为此而有矛盾,你到了恋爱的年龄，可以谈恋爱了 // 因为什么和父母闹矛盾？ // 你说的这段话实际是父母说你的话 // 你觉得自己在和父母闹矛盾吗？ // 父母有矛盾？
1.3,"女,跟老公现在关系非常恶劣，我想搬出去住，大家冷静一下，这样做对吗",我太压抑太痛苦了，他现在根本不在乎我 // 像陌生人一样相处 // 他无法给我一点安全感,不建议，分开更麻烦 // 可以双方协商决定 // 你们之间发生了什么，这么压抑，建议你具体咨询 // 你们之间发生什么矛盾了？ // 压抑是由于不能接纳所导致 // 需要与我进一步探讨可以约我的电话咨询！ // 这样的选择其实也是逃避，您说呢？ // 美女
1.3,女 结婚后感觉自己脾气暴躁很多，为孩子家里活，还为夫妻之间的感情！,为什么会变得如此爆的脾气，是我的不对吗,美女 // 这确实是几乎所有女性朋友都会面临的难题 // 积极面对解决 // 多为自己活一点吧，找点自己喜欢的事做
1.3,男 经常会发无名火，非要用暴力去伤害家人才会轻松些，是什么问题导致,具体来说，有一年多了，只是最近几个月越来越严重 // 主要是会觉得身边的人都像外人一样在歧视我，算计我，背叛我 // 今年30岁 // 我是一个坐过四年牢，现在已经出来三年了在坐牢期间老婆跟别的男人在一起过，有时候想到这些事就会想发火，有时候没想这些事的时候也会因为生活上的一些琐事和家人闹得天翻地覆 // 请问我这种情况该怎么治疗，我不想再用暴力去伤害老婆孩子，可又控制不住 // 请问我该怎么做,内心压抑太多愤怒？ // 多长时间了？ // 说明你成长经历中有一定的心理障碍！需要心理疏导 // 你多大了，是压抑的情绪， // 一年前有让你很愤怒的事情吗？ // 感觉你缺少自信，自我认识不足！ // 理解你的心情，过去的事情，我们无力改变，但我们可以活在当下 // 想想以后怎么活呢？浪子回头金不换 // 系统的心理咨询治疗肯定可以好起来 // 点击头像选择一个订单参与电话咨询中来深入交流谈谈 ，方便更有效帮助到您，好吗？ // 帅哥
1.3,"女,28岁,我心情总是会莫名的不好，总是看不惯我老公，容易生气，怎么办",很多地方，生活中的小事，就是看不惯他 // 导致心情一直不好,你看不惯老公的哪些方面呢 // 你们之间有发生过什么矛盾吗 // 你们结婚多久了 // 你可能是把自己的无助感的责任推到老公身上了。 // 看不惯老公哪些事情呢？ // 看留言吧
1.3,"女,26岁,特别讨厌婆婆抱孩子，自己也觉得这样是有问题的，就是心里很烦",担心她的宗教信仰影响孩子 // 她信基督，但是信得有点走火入魔 // 有点不好的事发生就说是因为我们不跟她一起信基督 // 说过啊，他也怕，但是他不敢对他妈有什么意见 // 有次孩子生病了住院，我都快急疯了，她幸灾乐祸，说谁让你们不信基督 // 不太可能，就我老公一个儿子，他们离不开他 // 公公还挺好,担心什么呢 // 嗯 你把你的不舒服和丈夫说过吗  害怕婆婆价值观影响孩子 // 尝试不住在一起呢 // 美女 // 具体一些呢 // 你需要学习象征化的表达你对婆婆的攻击性。也就是表达不舒服的感觉 // 我可以帮助您。 欢迎您点我头像，电话咨询我
1.3,如果现在的父母依然是棍棒教育，会不会是别人眼里所说的家暴，我问一下,你们都好 // 恩 // 因为我的父母老是喜欢拿晾衣架，烧把，木棍等的东西揍我 // 我15岁，他们说他们不是无缘无故的揍，是犯了错误才会揍 // 我15岁，他们说他们不是无缘无故的揍，是犯了错误才会揍 // 他们还说揍是恨铁不成钢的行为 // 我被棍棒教育给打的没人样了 // 特别是我妈，每次拿晾衣架打的我都疼死了 // 我特别反感棍棒教育 // 还有我爸，拿铁铲把我打的青一块紫一块,您还 // 多大了？可以跟他们交流你的想法 // 沟通
1.3,女 是我老婆，他最近特别容易走极端，一点小事情就这个家族闹的鸡飞狗跳,我们是九二年结婚， // 我们是做国际贸易的，他负责国内进货，我负责国外销售，情感一直都可以，两个女儿，大的在英国上大学，今年毕业，小的在国内上初中，明年要上高中了，他的意思是生活压力太大，说我没有给他分担压力，一直活在过去的记忆里 // 现在，需要我这么做， // 我考虑到他现在的情况，是不是让我带着他一起去你们那里面对面，做进一步的咨询 // 有没有得，抑郁症，我很担心,经营婚姻情感是一门学问，需要用心也需要智慧，否则容易出现各种矛盾和问题。如果需要深入系统的咨询辅导，可以点击我的头像预约正式咨询，以便我们更好的帮您。 // 她最开始这样是从什么时候开始的呢 // 你们结婚多久？看上去你们的关系不乐观。可以帮你了解分析。 // 永恒的爱 // 她一直这样么？以前也是这样么？ // 她多大？ // 嗯，很早了 // 结婚的24年了。这24年的情感过得怎么样？ // 更年期吧，多关心她，体贴她，过去这几年就好了 // 可以让她来做咨询调整心态 // 从你的叙述你。你老公是缺乏关怀。 // 可以有根据你的情况帮你分析。你老婆的需求。这很得要。因为你以前忽视了。我建意你电话咨询我。 // 她咨询的话也可以。但你现在来了。可以先处理你的事。这样你就更清楚自己的责任和老婆的关系怎么相处。 // 如果持续7天情绪低落，可以先诊断抑郁。。
1.3,女 你说为什么我这么恐惧回家啊，一想到回家就烦的不行。这是为什么。。,回答一下 // 当然是自己的家，不知道反正不想回家,是因为你呆在家里不能让你自己感到放松吗？ // 都烦些什么呢？ // 美女 // 一想到回家还想想到了家里的那些事情呢 // 你的家是指哪个家？多大？ // 嗨 // 我也有这种感觉
1.3,女 你好，我是一个母亲，我孩子到逆反期，手机给收了，她各种闹腾怎么办,好像沟通不起作用 // 给过她手机自由，但她管不住自己 // 我第一次来，不知道怎么弄,微笑] // 需要和孩子有更好的沟通 // 而不是只是单纯的强制 // 有人回答我吗 // 付费的话往你的账户里充值，充值可以通过支付宝微信或者是电话充值卡，网银。 // 充值之后订购 // 可以点击我的头像进入，订购适合您的咨询服务；也可以直接点击电话咨询，会很好地帮助您解决困惑[微笑]
1.3,女 婆媳关系老公特别听他爸妈的婆婆当面一套背后一套。总是对我特别不满。,有些问题我没法处理 // 不知道怎么办,你希望你老公不要太听他父母的，希望他能和你保持一致。 // 私聊，做正式咨询 // 只有让老公成熟和长大 才会与父母划清界限  知道什么是孝顺和无原则的亲密之间的界限 // 你有木有给你老公面子 // 退到一对一界面看我给你的留言 // 婆媳关系都普遍这样，你永远也没法让她满意，那就和平共处就好， // 你一定很难 // 美女 // 做一下家庭问题咨询，先调整好心态，不要把自己当成外人，然后学习沟通技巧，成熟的处理家庭矛盾问题。
1.3,女 我的妹妹处在叛逆期！不愿意回家！她觉得家人都不好外人都是好的怎么办,她的脾气很内向！什么都不愿意说！ // 不愿意说他自己的想法和看法 // 我感觉她是在谈恋爱！前段时间又离家出走现在也不回来,让家人调整和她互动的方式，多倾听她、多尊重她。 // 对她友好，她会感觉到的 // 美女
1.3,女 如果我觉得我的家人对我不公平，我还要闷在心里，表面上什么都没有吗？,因为没人理解 // 还要说你无事生非 // 想法太多 // 我们家从小就穷，一屁股债 // 可是我觉得在我心中的爸爸，他只会说，不去做， // 他说的话都很好，但是做的每件事我都觉得丢人也不是丢人是没做到父亲的责任 // 他跟我妈在我很小很小那时候就整天吵架打架 // 就所以我可烦他，但是他是我爸 // 我就算在想放弃他，良心上我过不去 // 真的在我很小的时候，一年级左右吧！我们家盖房，其实家里没钱，我爸也不去赚钱，因为他盖房出力了，我们什么都的听他的 // 他让我去小卖铺给他赊烟我就觉得丢人 // 但是我看到他晚上一个人铺地板的时候我又觉得他很辛苦我陪他一起弄 // 我以为我的爸爸是搭错车里面那个哑巴爸爸 // 就算收破烂，但是什么都是为了我， // 我上面还有个没出息的哥哥 // 唉～ // 有人在吗？ // 如果不是考虑家里有我妈，我早都走了，我想就算走了，我能赚钱我不会说不管他 // 因为良心上过不去，再怎么恨他他都是我爸 // 这都是前好几年的想法了 // 他跟我妈要离婚了！我当时就是这样想的 // 平时不联系什么，但是我知道他是我爸，他有难或者过平凡的日子，我都会帮 // 其实这些我也不在乎什么，我想每天我能让自己开心点过去一天我都啥都没有了！啥都不想了 // 但是我最近四年前做错了一件事！ // 我觉得活了十几年真的没人在乎我，我碰到一个真心真意在乎我为我什么都愿意去坐的人 // 但是他比我大，还在婚姻中！ // 我知道自己做的不对，我也没想到自己是这样的人 // 我说分开吧！咱俩不可能，但是我看他走的背影我受不了了 // 我跟他在一起了 // 我老说自己是小三，他说你不用这样想，就算没有你我还是会离婚 // 因为她媳妇有点霸道对他父母也不怎么好 // 我就是想说出来 // 因为现在家里人都在责怪我，没人听我跟他们说 // 就算你们都不吭我，我还是想把所有话都说出来 // 我卡里没钱！如果你愿意帮我，我有钱一定会给你的！如果你不帮我我不怪你们，因为这是正常的！ // 其实我真的想的很开，我不是一次两次想死想离开这个家，但是家里有个妈！我最放不下的人！ // 所以我不会那样做 // 唉～我现在哭的说不成话 // 谢谢 // 其实我觉得对不起他媳妇毕竟是个女的 // 所以我不贪图他的钱！只要他对我好就行了 // 他的房子在我们这七八十万，我说给她 // 我不需要这些 // 我觉得欠她的 // 嗯 // 但是村里面的这种风气！如果让人知道了我就给父母丢大人了 // 如果我不考虑我妈，那我一定跟这个人过得很好！ // 没有那么多不高兴,为什么不说出来？ // 理解你的感受！ // 做好自己 // 你心中理想的爸爸是怎样的？希望他怎样对待你 // 美女 // 说了这么多？你多大了？ // 你自己感觉你说了这么多，是有效表达吗？ // 有互动吗？ // 如果相信我……点击我的头像……选择服务清单里的服务产品！有效咨询！可以吗？ // 恩…心态还是不错的 // 有些问题需要了解大量信息！通过问题阐述本身有缺陷的！有效咨询最好，电话 // 情绪太低落了！你平稳一下情绪！说吧！把想说的话都说出来 // 这个世界没有什么事是能绝对的按着谁的意识去发生………任何状态都是对的！ // 你的思维里有太多的你认为…～～～不是你认为的认为就是你认为的认为………就是说世界是百态……不百态是不正常的！明白吗？ // 接受任何一种可能………你就不会这样痛苦… // 是，村里很多人为别人活！为脸面活！可是还是痛苦？所以他们错了…你不要跟着错！ // 你妈妈你做到孝心就可以了！任何人都是独立的！不要试图捆绑…否则你是在干涉 // 你的要求怎样。 // 你可以在这里诉说你的感受
1.3,男 爱人离家出走了，我叫她回家。她总有很多理由拒绝不回家！这我该么办？,印象很差吧现在！以前我打过她，刚开那几天她是说我打过她她阴影，后面一段时间她又说跟我没法沟通,你感觉自己给她留下的印象，是什么样子呢？ // 都什么理由 // 你是怎样做的啊？
1.3,"女,28岁,已婚女子。女宝宝一枚。我和老公感情现在很不稳定。我心情总是低落。",我们之间隔膜太多 // 我们一直都是沟通太少。没有办法沟通到一起 // 我们是偶遇。结婚今天第3年 // 认识都快4年了 // 我们沟通不到一起。 // 所以很愁 // 是啊 // 我们也没有共同语言 // 所以我想请教各位了 // 我再怎么努力也是无动于忠愁。 // 可以帮助我嘛,最近发生什么事了么？ // 有什么能协助你的？ // 因为什么原因呢？ // 可能需要调整一下婚姻关系。沟通方式需要调整。 // 能谈谈为什么失落的 // 你们结婚多少年？怎么认识的 // 美女 // 不稳定是什么原因？ // 经营婚姻情感是一门学问，需要用心也需要智慧，否则容易出现各种矛盾和问题。如果需要深入系统的咨询辅导，可以点击我的头像预约正式咨询，以便我们更好的帮您。 // 你们需要了解彼此各自的需求 // 隔膜太多会出问题的 // 需要及时调整改变的 // 很理解你的心情 // 沟通技巧是可以提升的。你可以点击老是头像，详细咨询。 // 很愿意帮你 // 愿意和我详细聊聊吗 // 似乎是夫妻间沟通出现了问题 // 婚姻是需要经营的 // 可以帮你的 // 点我头像点电话咨询帮你
1.3,"女,婆婆很会在孩子面前与我争宠？她似乎觉得孩子对她比对我亲热，她更开心！",看得见我的问题吧 // 老公不在同个城市生活！我因为放不下孩子，选择跟公婆孩子在一起生活 // 顺便可以上班！我不想被社会抛弃 // 是！做母亲当然是这样想 // 老公 不以为然，觉得我想太多！但这件事确实挺困扰我的！他觉得孩子始终是你的！为什么这么小心眼！我也确实见不得孩子和婆婆好,美女 // 您有这样的看法，老公怎么看呢？ // 你希望你的婆婆不要跟你争宠，希望孩子对你更亲密些。 // 与婆婆建立好关心呀！ // 这么简单的问题，还说出来呀 // 你是傻呀！ // 你这么执着，我帮不到你，有一位专家可以帮你 // 她的心善 // 其实婆婆可能只是喜欢和孩子亲热而已。 // 我们需要什么状态？好像有两个孩子在争抢爱？ // 这是没必要的，孩子暂时和婆婆亲热，或是谁带的多一些，就亲热一些，或是谁迁就孩子多一些，孩子就和谁亲一些， // 要考虑对孩子的成长 而不是互相吃醋 // 而且我要建议你选择心理咨询老师帮你分析，还有其他比这个更不舒服的问题
1.3,女 我老公和我吵架，好几天不和我说话，该怎么办，因为我嫌他家都向着他姐，,最近 // 怎么修复 // 吃饭都他吃他的，我吃我的 // 是的 // 怎么有效沟通 // 和都分屋睡啦,经常吵吗？ // 修复下情感关系。 // 私聊你了 // 你觉得他们家不公平，所以就跟你老公吵架，赌气，冷战？ // 学会有效沟通，冷战不解决问题 // 心胸狭窄，不能接纳别人 // 老婆老公是用来爱的 // 爱是解决问题的最有效方法 // 家庭中没有道理可讲 // 没有对错之分 // 如果你信任我，点我头像，再点图文咨询，与你私聊。付费后，电话沟通才能说清楚 // 您现在想缓和矛盾对吗？
1.3,"女,我怀疑我得了抑郁症。家庭和感情发生太多变故，今年十八，有轻生的念头。",老师。 // 我到底得没得抑郁症。,理解您的心情 // 这样的描述无法判断是否是抑郁症，还需要进一步的信息采集及科学的测量 // 家庭感情双重叠加压力会让一个十八岁女孩不堪重负，但只要坚持与努力做心灵疗愈，未来会及其美好！因为你承受了别人没有承受过的苦难，注定坚韧而有力量。 // 美女
1.3,女 自从有了孩子脾气特别暴躁，有的时候都没办法控制怎么办，怎么才能不暴躁,,生活中有什么不满意的吗？ // 和老公关系怎样 // 需要改正，否则带孩子了会影响到孩子…，
1.3,"女,家庭成员每个脾气都很大，喜欢说别人，总是爱挑彼此毛病，感觉过得好累！",我29岁，昨晚我喂奶，让老公起来给宝宝冲奶粉，他就是不肯，真让人生气 // 我一家三口加上我的妈妈，我的妈妈性格强烈，强势， // 对，老公很自私，也很自我，总觉得他啥都厉害 // 活在一个爱挑刺的家庭里， // 我想改变我老公，他本是细心的人，以前还蛮勤快的，可是他现在… // 对，大家就是沟通出了问题，我和老公也是，每次吵架大家都是跟彼此沟通不了 // 可是怎么改变呢，具体要怎么做呢？我是一个典型的理科生，情商不高，不太会说乖巧话的人 // 不是很接受付费 // 可以加微信关注吗？如果聊得好是可以考虑付费 // 好吧，谢谢,微笑] // 多大 // 家庭成员有谁呢 // 老公有些自私  不会照顾人吗 // 是啊那你过得还挺不容易的 // 但是如果学会一些沟通的技巧，可能你生活起来就会轻松快乐很多了 // 这种现象很难调整  老公 妈妈都不会意识到自己的问题 // 但我们用强势的口气命令别人的时候，一般对方就会反抗的。也就是你们的相处方式确实存在很大的问题。 // 改变自己的沟通方式，这样有利于自己的心态平和有利于家庭和谐。 // 你只有先改变自己，才能够改变别人 // 可以接受付费咨询吗，可以更详细的帮助你 // 情商是可以学习和培养的，这个不用担心 // 首先自己把心静下来 这需要一个过程 毕竟是综合家庭的调整和咨询 // 直接私聊就可以了，不用加微信 // 这平台不允许加微信私聊  只可以在这里免费的为你回复  或是付费单独私聊
1.3,"女,自从自己知道没有亲生父母的事，老觉得自己不该活在这世上，常常做梦哭醒",不太会用这软件,你多大了，养父母对你怎样 // 美女 // 看留言吧 // 美女 // 多大了？  亲生父亲对你意味着什么？
1.3,"女,是不是每一段婚姻开头都有一段痛苦的经历，为什么结婚三年感觉过得够够的",,这要具体分析 // 美女 // 具体遇到了怎样的烦恼。说说看 // 心理感受到难受痛苦，这都是来自我们的内心，我们先探索自己究竟怎么了，而不是先去追究婚姻究竟给了我们什么样的感受。 // 感觉你需要了很困惑的问题 // 因为你来过很多次了 // 建议你及时心理咨询，通过心理咨询解决你的问题 // 好像你心里积累了很多的不舒服。愿意和我聊聊吗 // 欢迎您点我头像，拨打电话给我 // 感情的问题不是很简单的，建议做电话咨询，帮您详细地分析具体的情况。 // 你心里很难受，又对老公这样你感到无助是吗 // 和老公的主要矛盾是什么呢？
1.3,男 长期和妻子吵架，最后这次打了她一巴掌，怎么也不肯原谅，怎么道歉都不行,有的是琐碎的小事，就是意见不同意，我不懂的忍让造成的 // 我感觉我有点边缘型人格障碍沾边，我的行为和这个比较相似 // 40多天了，我是有人格障碍的人情绪很难平静 // 我倒是想啊，我每时每刻都在想着这事 // 我不确定但是很相似,长期吵架的原因是什么 // 吵架和打架伤了她的心 // 对自己很重要的问题，最好选择正式咨询进行系统解决。点击头像可进入预约页面。 // 你习惯用吵架和打架解决问题？ // 真诚面对 // 欢迎私聊！ // 把那一巴掌还给她试一试 // 帅哥 // 道歉了就够了，她不原谅你也正常，你发了人就要他立马原谅，这不太好吧 // 别道歉了，多哄哄 // 你在给你自己找病症？ // 解气需要时间 // 努力做对的事情 // 那就想办法平复自己 // 别再给自己找麻烦 // 帅哥 // 如果你确定自己是人格障碍，就需要长期的努力，才能改变。
1.3,女 我生完宝宝之后容易发脾气生气，感觉累老是与人争吵，感觉别人不喜欢我，,女 我生完宝宝之后容易发脾气生气，感觉累老是与人争吵，感觉别人不喜欢我， // 四个月 // 喜欢生气╰_╯还感觉累 // 家里人说我不讲理 // 喜欢胡思乱想 // 担心这个担心那个 // 老说自己像老太婆说别人不喜欢我什么的 // 还有人吗 // 根据我说的是什么情况,生宝宝多久了 // 微笑] // 产后焦虑 // 美女，做一下心理健康测试 // 具体咨询疏导之后就可以解决 // 或许是产后焦虑，通过心理疏导可以帮你改善 // 可以理解
1.3,女 我好烦，心理不舒服老想哭，还老想打孩子，孩子干什么都不对。我该怎么办？,我该怎么办呀，我好害怕。 // 我的事好多，心理快不行了，家庭老公孩子。我都不知道怎么办,总觉得心里出问题了。及时咨询疏导 // 发发生什么?_? // 将自已的焦虑投射到孩子身上 // 你的情绪来自哪些事情？ // 你要先调理好自己 // 疏导你的情绪啊 // 你现在把情绪发泄到孩子身上了 // 有什么不顺心的事情？ // 现在负面情绪不仅伤害你自己，还伤害了无辜，最好进入系统咨询，走出误区阴霾。 // 美女 // 能抽时间整理自己心情吗？ // 知道你委屈痛苦 // 看我给你的留言 // 及时调整自己，不要影响孩子。 // 好的 // 发生了什么事情吗 // 具体发生了什么，可以感觉到，你很焦虑 // 如此焦虑。点击头像联系我咨询治疗吧
1.3,女 在激烈的争吵以后，甚至动手了，这一段从一开始没有感情的婚姻能否走到头？,因为家长感觉两个人合适，比较门当户对 // 结婚两个月 // 结婚两个月几乎没发生夫妻关系 // 农村都是父母做主，父母感觉合适，感情可以日后培养 // 所以现在我想质询一下怎么样结束这段婚姻,结婚多久了 你在迷茫吗 // 为什么而吵架 // 结婚多久了，没有感情，为什么结婚呢 // 感情本来就是起起伏伏的，前面几年是一个磨合期，然后进入一个稳定期，然后再会有一些事情让感情有波动，再然后~。。 // 你多大了？ // 此类重要问题最好预约正式咨询，点击咨询师头像可以进入预订页面。 // 你的态度和行为决定你们婚姻的方向，何去何从都是你的选择 // 没有感情为何还能走到一起？ // 这样选择感情等于是赌运气 // 如果想结束，1双方协商，2起诉离婚 // 能啊。 // 如果你无法做出选择，点我头像，再点图文咨询，与你私聊好吗？ // 付费后，电话沟通才能说清楚 // 美女
