s1,title,following
1.3,"女,33岁,婚后与公婆，丈夫之间的不愉快，尤其生小孩后",我现在总是想起那些不愉快的事情 // 有专家先来了解一下吗？ // 现在看到丈夫也不舒服，总是想起他们家的某些人，就不舒服 // 我觉得自己很命苦，遇到这样的公婆 // 怎么办？ // 想摆脱他们，但是还想帮忙看看小孩，替替我妈 // 他心疼我，对我也很好，有时候也跟他父母讲理 // 但是他父母有时候也听他的，有时候也不听，就有摩擦 // 你婆婆帮你带孩子吗？ // 我婆婆总是有她的事情，根本都不是事，来看孩子，俩三周就要回家 // 我们都上班，没法自己带 // 结婚啥也没有，孩子也不带的话，那都没啥亲情了吧 // 过年还想让我买礼物 // 回公婆家过年，连菜也不做，一家四口大人吃一碗芹菜，还是过小年 // 我婆婆从结婚前就出去说我坏话，还说我家有多不对 // 一进家门就说自己儿子脾气急，别让我惹他 // 嗯嗯，结婚了，成立家庭了，该独立了 // 只要老公不是妈宝男就行 // 那就好 // 婆婆想占主导，那就回她自己家，她老头子听就行了，我们没有义务听 // 可以啊
1.3,男 请问十岁的小男孩每晚哭着要跟着妈妈睡是什么原因,男 请问十岁的小男孩每晚哭着要跟着妈妈睡是什么原因 // 要怎么办好 // 不让他跟着睡就哭和头晕 // 那这样对小孩心里会不会有伤害呢
1.3,女 父母有时候为了一点小事就不吵架，我该怎么办呢？,就是烦 // 天天都是因为小事吵架 // 是不是遇到鬼了哦 // 烦死了 // 啥子问题 // 他们又不是吃多了 // 滚
1.3,女 家庭，关于和家人关系处理，我不能控制自己的情绪,我15岁了，今年也可以说16岁了
1.3,女 跟父母说话会烦躁 不知道为什么他们总是要对我说谎,具体一点我和我妈分开了十几年中间有断断续续的联系的 // 现在是和我妈住一起 // 我很正常 // 就是想不明白她为什么总是做这些没有意义的事情 // 我有时候都不知道她到底那句话是真是假 // 很讨厌跟她相处是因为她从来都不能好好说话 // 不出十句就开始大声然后那种极具讽刺厌恶的语气 // 我再怎么语气柔和也无法让她平静一点点
1.3,女 怎么可以劝爸爸吵架时不打妈妈，应该说都是爸爸的错,家里还有几个很小的孩子 // 他们都是当爷爷奶奶的人了 // 我今年高一，有三个哥哥 // 就跟三天一小吵五天一大吵似的 // 好 // 谢谢您 // 我妈给我哭了 // 说没有办法了 // 上个月我爸也打我妈来着 // 我妈说他就忍了一个月 // 还说都气出病来了 // 吵架都是因为一件小事 // 是有人往我们家送东西了 // 我妈忘给我爸说 // 我爸就问为啥不给他说，我妈说忘了，这不你问了我就给你说，然后我爸就说下次给我说，我妈一直说知道了知道了，我爸还一直抬杠，我妈也没说啥，我爸就动手打我妈了
1.3,男 重度抑郁症。怎么治疗有好多方面情感，，家庭，自卑,重度。抑郁。 // 有什么治疗方法？ // 这个表准不准？ // 情感 // 家庭
1.3,女 发现爸爸出轨了该怎么办？？？？？？？？？？？？？？,和爸爸关系特别好他很疼我的 // 今年18了我初中的时候就怀疑过 // 他手机里有暧昧的短信 // 今年我又发现了 // 和三年前是同一个人 // 我不知道该怎么办我妈妈什么也不知道 // 报警真的有用吗他们都结婚20年了我还有一个弟弟 // 每天看到我妈妈为家庭奔波干活还什么都不知道 // 我太内疚了可我不知道怎么开口
1.3,"女,24岁,跟婆婆不合总是整晚睡不着觉心里压着一块石头一样",宝宝现在三个月了 // 夫妻关系挺好的 // 老公是独生子，现在都不能看见老公和婆婆独处或聊天，要不心都提到嗓子眼 // 以前刚结婚的时候没有，可能是有宝宝后，跟婆婆不合，才不想看到他们聊天 // 就是因为带孩子坐月子的时候我心情不好，情绪有点不好，婆婆伺候了我一个月，满月了跟我吵了一架 // 从吵架后，我就对她特别反感，无论她做什么事情我都看不顺眼 // 我和我妈妈的关系很好 // 因为疫情我和公婆在一起住，一直都是我和老公带孩子，婆婆基本上没带，晚上孩子哭的厉害，公婆也不问，跟听不见一样，对他们的做法很不满 // 我希望她不要老是什么都爱和老公说，跟老公有界限 // 那我应该怎么做 // 没有忽略老公，只是对婆婆不满，不能看到老公和婆婆亲近
1.3,女 为什么特别讨厌老公的侄子侄女，不想在自己家看见他们,有沟通，但是我们是和公婆同住，有时候没法解决
1.3,男 我是一名男同性恋，我想知道同性恋以后怎么跟家长沟通？,16岁 // 希望能什么都不管吧 // 他们肯定会难受 // 只是想知道我应该怎样去沟才能让我们能通 // 对学习也不上心 // 现在也不想找男的谈恋爱 // 都说彩虹是gay的象征 // 但我感觉 // 出轨后，就没有彩虹了 // 我放过一部霸王别姬 // 但是我自己在旁边看的吓死 // 然后我妈就玩玩手机后面没怎么看 // 卸软件了哈，帖子就不回了 // 你们想讲什么就讲什么吧 // 毕竟很多人也都需要找到路
1.3,"女,跟老公三观不合，和婆婆也相处不来怎么办，每天都很抑郁",30岁，刚结婚一年，孩子8个月
1.3,女 和婆婆住一起，吃饭的时候叫都不叫一声吃饭，是你你怎么想,婆婆俩口子，和她的儿子们，都不叫一下 // 这里不是我家啊，婆婆的家，住一起的， // 她是心情好就叫下，啥时候不知道有啥想法就不见叫
1.3,女 和妈妈吵架了，我误会了妈妈，妈，妈妈也误会了我，怎么办,
1.3,男 孩子自信心不足，表现为自卑，消极，不积极上进，怎么疏导,2l岁
1.3,女 家长意识不到自己的错误，怎样才能让他们认识到自己的错误,
1.3,"女,25岁,家庭暴力，婆家蛮不讲理，欺负人，有没有相应的保护法律",有一对双胎，我想离婚可以带走一个？ // 报警了，疫情在，警察就是警告处理 // 一周岁 // 嗯嗯，好的，谢谢
1.3,爸妈吵架把脾气往我身上撒，我今年才15，不想活了，真的，好累。,爸妈吵架把脾气往我身上撒，我今年才15，不想活了，真的，好累. // 你说的刀好听 // 你说的倒是好听 // 你试试
1.3,女 我想死……想离开这个家庭不想活了怎么办我没有活下去的希望了,我就是知道自己在家人眼里很不堪 // 是很真实的 // 我真的能感受到的 // 想死了哪来的内心强大
1.3,各位老师好，我有个朋友他与他家人经常吵架，见面就开吵。我想问问怎么办,我是想让我朋友和他家人和好，还有让他认识到自己的错误。 // 嗯， // 我是男的 // 要好的朋友 // 那老师你又有什么办法 // 他大我两岁 // 不知道 // 终止一见面就开干 // 我也很想让我朋友和他家人一起和好 // 好的
1.3,男 关于一些亲情关系的心理问题，怎样去化解？或怎样要去面对，该怎么办？,
1.3,咨询下家庭问题，我和老公结婚一年多，有个3个多月的宝宝，可是现在总是冷战,我都快憋屈死了 // 要从我坐月子开始说起 // 稍等啊，先去看孩子了
1.3,父母偏心弟弟很想死，但又怕疼555555555555555555555555555555555555555555555555555555555555555,
1.3,"女,26岁,妈妈总是干涉我的生活，我想和老公离婚，我过得不好，父母总是不同意",
1.3,女 我的婚姻一落千丈，我也不知道怎么做，想结束这段感情，可是有太多的理由,公婆 // 我觉得我都快疯了，他娘骂我撵走我抢孩子，老公只听他爸妈的，想不过了又舍不得俩孩子 // 啥他都做不了主，他娘说啥他听啥
1.3,女 婚姻问题，想离婚，没感情，看见电话都烦心，他不肯离，还把责任全推给我,想哭 // 安俐 // 嗯 // 我真的不知道是不是我的错 // 一开始的隔阂始终是心中的那根刺 // 我晚婚，29才结婚，是受不了爸妈的唠叨和世俗的眼光才找个人结的婚，不爱也不反感，总以为感情是可以慢慢培养的。但有件事让我根本爱不起来。我在城里有房有车，而他是乡下的，所以商量好了他们家拿十万出来办酒。可不曾想他直到结婚前两天才告诉我没一分钱，日子定了，请柬发了，也不可能不结了，更可气的是他爸爸妈妈居然也是空手来的。就这样，他们家心安理得的不花一分钱娶了个媳妇，没有解释也没有一句话，俩老人回家还四处‘炫耀说儿子在城里有车有房了。说句实在的，我并是物质女人，但我觉得不被尊重，也看不起他及他家人，所以婚后对他们都很冷淡，他开口问我要几十万做生意我也没给。直到无意中有了孩子后，他虽然赚得不多，但还是尽心尽力为着这个家，我慢慢释然了，也就不记恨了。 // 可现在又不行了，他想回家搞养殖业，我不同意，说我不习惯乡下的生活，不会去陪着他，但他一定要去，没办法，我就拿了五十万给他，但我确实很少去他那里 // 渐渐的他怨言越来越多，酗酒也越来越凶，过年时在他家又酒醉了，还打了我，我跟他妈说，他妈居然笑着回答我喝了酒是这样子，像他老爸的酒性，没事的，我一辈子就这样过来的。倾刻之间，忘记的伤痛全回来了，看着这个男人和他的家人，我唯一的念头就是赶快逃 // 我回家等他酒醒后谈过离婚的事，他不肯，说他都不计较我原来对他的冷淡和不拿钱给他做生意，你还纠结以前干嘛?你现在说这些是挑起了整个家庭的不协调。        老师，是我错了吗?我真的只想要他及他家人对我的一句交待，承认是委屈我了，承认不花一分钱娶老婆不是本事而是一件有伤尊严的事 // 老师，现在我该怎么办;婚他不离，我现在对他和他家人非常反感，连看见他电话都烦，而他打电话就全是抱怨和责怪，真的快崩溃了，想死了算嗒，但若我死了我所有婚前财产就全落他家了，不甘心啊 // 为什么
1.3,女 我觉得在我家根本就不需要女孩，我常常被抛弃，总挨骂，我甚至有想死的想法,加油！只有自己才会爱自己 // 这些都是他们骂我的时候我没有人去诉说 // 我只能去跟自己说 // 我很想知道我们都是一个娘胎里出来的 // 为什么要区别待遇 // 我很不理解
1.3,和家长沟通困难，我脾气暴躁该怎么办，我也不想，怎样改善，怎样改掉这个毛病,在吗 // 谢谢 // 脾气不好怎么改
1.3,"男,13岁,我每天都一直想去死啊，每次都被父母给骂，今天我被打了，打的我全是Xie",
1.3,"女,备孕一直怀不上，导致自己特别焦虑，无法放平心态，而且刚刚离职，没有收入",自己输卵管一侧不通，怀孕几率就很小 // 而且两年半生化了两次 // 感觉是自己高度紧张，内心有点儿崩溃
1.3,"女,男人第二次动手打了你，该离婚吗，真的不爱你了吗？为什么自己还有点舍不得呢",
1.3,"男,27岁,我的婚姻一落千丈，我也不知道怎么做，想结束这段感情，可是有太多的理由",我真的很无助，一边是父母，一边是媳妇
1.3,女 结婚一年多，孩子五个月了，老公我俩吵架无数次，想离婚，可是怕他不给我孩子,我认为主要矛盾是老公太妈宝了 // 其实矛盾都是因为他妈，因为婆婆不想带孩子，不想伺候月子，可是，老公只单纯的以为他妈是要忙家务没空 // 有些事情，不是单纯的法律就能解决，即使我拿到抚养权，可是如果他家天天来闹着要孩子，我都拿他们没办法 // 其实吧，这次肯定是离定了，就是心里很难过，我是实在没办法才决定离婚了，可他们家估计还在家庆祝我走了吧
1.3,"女,你好我觉得我老公最近不接我电话，以前一打起去，他都接，现在不爱接，嫌我烦，",结婚6年，我的脾气不好， // 我跟他沟通，随便，怎么说，他就是不说，心理话 // 一点他让我不舒服，我就哄他 // 有一点茅盾， // 我就想他在乎我一点，对我不管不问， // 偶尔得关心还是有
1.3,男 我真是手贱，帮别人抢口罩，抢到了还得帮别人去取口罩，我老婆看见我就没好脸色,不是，我老婆说我没为我自己家抢了 // 我开始是想填我老婆的名字，我只是不会写我老婆的名字 // 我填我老婆的名字写了三次都没写对，才写别人的名字，我没和我老婆说，一说她更气 // 她都叨叨好长时间了 // 我也火大 // 以前我都抢不到，这次不知道怎么就抢到了 // 我老婆说她不是气我帮别人抢到了口罩预约，而是气我不先考虑自己家庭，又说我承诺她过完正月就问我我弟要账，现在正月已经过完了，让我兑现诺言 // 我算是自己给自己找不得劲 // 主要是不经常写她的名字
1.3,女 和婆婆一起住10年了，因为老公总是喝酒，最近公婆说要搬出去自己住，我该怎么办？,能帮帮我吗？ // 他也不想让他爸妈出去住 // 就像今天晚上，我说我去陪孩子，让他在家，他不干非得让我在家留住公婆 // 我们住在一起我也习惯了，要不也不能一住10年啊 // 是，他一早就喝酒，就因为这事，公婆天天说不能和我们一起过了 // 这不今天就说房子也找好了 // 是的，说他喝酒总是担心，搬出去就什么也不管了 // 专家们，谁有办法帮帮我。 // 事实是什么？ // 我不管他们让他们继续这样，还是我要管他们，怎么管？ // 难道喝酒的人都有抑郁症吗？ // 是老公有抑郁症还是公婆有抑郁症还是我？ // 话说一半，不明不白的 // 是吗？ // 你可以解决吗？ // 我现在就是不知道该怎么办了，我公婆一弄就和我哭和我说在让我和老公说。他们在一起的时间他们不自己说，也不和我老公哭，我真的不知道我要怎么做，才是好的！
1.3,女 一百次的期望，而一百次的失望，坏事总是到我身上，我熬不下去了，我该怎么办……,家人宠妹妹，我就是多余的，感觉我就是个空气 // 还不是一样
1.3,为什么二十四岁以后每次我和我爸聊天到最后的结果就是吵架，他说我天真，我特别痛苦,我想试图缓和这种关系 // 我应该怎么做 // 我辞职半年了，之前是工厂的流水线工人，后来回来报了大学，但是因为文化程度太低，很是吃力，也没什么别的技能，压力很大，准备去学习一些技能，又担心自己学不好，意志有些消沉，常常晚睡夜里做噩梦，导致了我和父亲每次的沟通以吵架告终
1.3,男 被家人骂了，干错了事，一会想哭一会想笑，有事想的很多，以前总想像自己死前的样子,犯错了 // 爸爸骂的很厉害 // 总是哭 // 现在不想哭了，一会想哭，一会想笑 // 之后以前伤心会想像自己死前的样子，还有其他乱七八糟 // 有时又很生气 // 但现在又想笑，又想哭 // 谢谢 // 谢谢你陌生人 // 一点小错，但父亲总很严厉，拿皮带抽我，说我废物， // 他就打一两下，但我觉得他说的很过分 // 有时候说的我想自杀 // 跳楼，上吊只是想像 // 但如果有时分不出虚拟显示我觉得我有可能真跳楼 // 嗯 // 什么意思 // 和学习没关系 // 好的
1.3,女 妈妈一直找你麻烦，还很暴躁，什么事情都是我的错，什么都是为我好，一言不合就动手,
1.3,女 跟婆婆同住很多方面都不是很开心感觉好压抑最近睡不着吃不下整天都是晕晕的我该怎么做,我觉得很压抑不知道怎么办 // 不想住一起可是不知道怎么和老公说 // 我都已经失眠好久了
1.3,"男,我的岳父是个赌徒，还是人品急差的人，因为他我和老婆关系不好，快要离婚了，我该怎么办",是的，经常和我老婆要钱，因为赌博 // 给啊，要是不给我们也不会生气离婚 // 她老爸，现在我就不理他，把我害苦了 // 因为这生气我们两 // 我该怎么办 // 表达了，我老婆说改变不了他老爸，因为赌博老要我钱，我不想和他有关系，因为这我们两闹的一直不高兴， // 最近比较严重，可能要离婚 // 他爸退休金1万元，半个月就没了，然后就跟我们要，闹得我现在也没存款，本来想要个二胎，也不敢要了，非常影响我们的家庭 // 我也不想离婚，可我也没办法解决这个问题 // 有时候我狠毒的想，他爸要是现在死了，我们可能就解脱了 // 讨论过 // 现在就是在十字路口，离婚我还能过好我的生活，主要是我孩子，对孩子心里有影响。不离婚我的生活过不好，还是影响我孩子的健康成长 // 她也打麻将 // 受她父母的影响
1.3,"我不知道现在是不是得了抑郁症,我每天都梦见和家人吵架，而且我现在放弃高考的欲望很强烈！",嗯嗯 // 怎么测 // 总分260
1.3,男 因为孩子上学需要口罩，需要在网上抢口罩，我帮别人抢了，没帮我老婆抢，我老婆就生气了,我家也需要，别人家不需要， // 我家的都是我老婆在抢 // 我老婆特别生气，说我不顾家，我坐到她旁边，就让我滚 // 唉 // 我想着我老婆在抢，我没事就帮别人抢一下 // 我只是试试，没想到能被我抢到 // 我老婆没抢到 // 我以为我老婆能抢到，谁知她这次没抢到 // 前几天我抢不到，我老婆能抢到
1.3,不想在这家待了，觉得这个家没有亲情  我不喜欢奶奶 不喜欢爷爷 我只喜欢我姑妈家的那个姐姐,每次奶奶背地里说我 我就觉得自己没有用
1.3,女 你好，我想咨询一下我的孩子刚结婚2个月，夫妻间闹矛盾，几天不起床，真的很头疼，求帮忙,
1.3,父母偏心，刚刚吵完架，现在很崩溃，觉得活得没什么意思，没有人在意我的感受，不知道怎么办,
1.3,你好我是一个初三的学生，最近家庭矛盾有点大相向专业人士请教一下请问是一对一在线回复的吗？,我家里出了很大问题本来我家经济状况还可以但是后来我妈乱做生意赔了钱我爸一直赌钱甚至还养小三，好几年前我妈了解一点就跟我爸吵了很久了但是我爸一直死性不改又色又赌，我很讨厌我的父亲 // 现在问题更大了因为这个状况一直没改变我家已经赔了很多钱现在都借别人钱来慢慢还，我妈现在每天都上班一个月有三四千，我爸去外地包了一个西瓜地本以为会安宁了把亏的钱都赚回来接的都还了，没想到那个贱人小三居然还在勾引我父亲，我父亲居然在这种时刻还是跟她暧昧，每次那个贱人向他要钱他都会给，他还瞒着我妈本来家里就亏了那么多钱没想到他这么没心没肺 // 我一个学生也什么都做不了只能看着这个家毁于一旦，真的心态很差 // 你是真人回复吗？ // 你能回复一下我吗我不想打了这么多字结果又是无用功浪费时间 // 不是没关系我就想找个人倾诉一下 // 我刚刚打的你看见了 么 // 上面大片文章 // 是的 // 已经5年多了 // 小时候父母就一直吵架我觉得错在我父亲 // 如果我是他我就一定会让什么小三滚的远远的 // 可是现在我家已经欠了将近100万了 // 我爸居然还给那个贱小三好几千好几千的 // 可是他一点担当和责任都没有，以前有钱就算了，现在亏了这么多他还这么做，他是个男人吗？ // 这我倒是没想过因为我不了解那个小三是不是恐吓我爸 // 这个过口瘾没有用，现实我的父亲还是那个德行 // 但是我爸跟我妈说他有点怕那个女人 // 可是我爸这个样子都快害的我没学读了 // 我怎么做好自己 // 亏了一百多万却还赌钱，还给别的女人送钱？ 他要是个人就会考虑自己的家庭把？ // 我一个初三的学生家庭就已经负债100多万了 // 看他的意思也没打算还清 // 难道让我承担那100万？ // 别的年轻人刚出道打拼社会都会遇到很多困难，更别说我家庭欠了那么多钱，我以后怎么生活 // 我家都是向邻居借的钱 // 他吃喝嫖赌 别人都很讨厌他了都不打算再借他钱了 // 还得算上利息 // 就算不是我一个人承担那100万那我整个家庭也没那个能力 // 可是我就算想过嘴瘾 // 我也想骂的是那个贱婊子 // 害的别人家庭破散 // 我现在就想坐车到那个人面前用刀把她脸划花 // 可是我没有这个意图如果是骂我想用电话亲自骂她 // 你在怎么装她 // 你也不是她 // 你没有她亲自的回应 // 我一个人也唱不了独角戏啊 // 真的不行 // 这个好像跟我这件事情没有什么关系把 // 不是啊？ // 你说这个好像也跟我这件事没有关系啊 // 其实我是想在这个平台找跟我想法一样的 // 我感觉最近生活很碰壁 // 我其实很羡慕别的家庭，也许别人的家没我的家，我的床舒服但是他们过的无忧无虑，我就想不明白为什么我这么倒霉 // 有这样的父亲 // 你说这个华首克斯老仙我百度也没查到啊 // 是啊 // 我要是能转运就好了，可是没那个福气做什么都一股倒霉劲头 // 可能你不相信我有多倒霉，我每次努力想做好一件事情的时候总是遇到蝴蝶效应，总有世界上那些无理的人阻碍 // 为啥快递员？ // 我现在高中还是能考上的 // 大学努力点也能上去 // 不至于到快递员吧 // 什么意思 // 我成绩也没有那么好我这个临海市我能考到排第四的高中 // 好吧 ，最后一次跟你谈话了虽然也不是很愉快
1.3,女 婚姻危机：发生矛盾我同我老公分床有一个月了，看他样子还不想回到我身边。以前最多一个星期,
1.3,女 为什么我和父母吵架之后会自己打自己，之前有用笔扎自己扎很多洞，现在会打自己或者抓自己。,我也不想啊 // 但是我总是觉得 // 我活不成他们想象中的样子 // 我每次有自杀的念头的时候我都会和我自己说，我还有那么多新买的裙子没穿，还有好几条新买的裙子没发货，我还没有见到我想见的人，笑死我了，支持我活下去念头居然只是几条裙子 // 我真的好难过，尤其是他们的语言攻击 // 今天不小心抓伤了我爸，我妈居然说我未来是不是要拿刀捅我爸爸 // 我每天从早上到下午都得在家学习。晚上也得学。休息一下他们就说我休息了好久。放假了也不让我和同学出去玩。我几乎一学期只能出去两三次 // 不敢和他们说 // 怕被打 // 每次和他们说他们都说我狡辩
1.3,家里人老是骂我，完全不喜欢这个世界了，而且他们完全不考虑我的感受，总是找借口，证明自己没错！,
1.3,女 想要考研，特别焦虑，和家里人争执，有的时候会莫名奇妙的哭，对于喧哗的人群，有畏惧和惧怕的心理,现在几乎已经影响到了日常的生活 // 不是，他们不会管我考不考研的，就是关系比较紧张 // 我觉得是的
1.3,恨自已为什么没有勇气去离婚！！！三观不合共同生活了十多年吵了十多年，根本没有体会过什么是相亲相爱！,
1.3,男 我的爸一生气就说要把我扔出去搬死动不动就拿凳子砸我也重来没好好和我淡尝试和他谈也不理，这还是我爸吗,不是 // 就是重楼上扔到楼下 // 18楼 // 和朋友玩他还要说我 // 不和他接触找各种事说我打我 // 我学习也不好 // 没人出来 // 反正一看我玩就要搞完 // 我 // 我就感觉他重来没有关心我 // 只会打我还有谁要砸死我 // 他不原因沟通 // 一沟通就和没听见一样 // 我真不想有这样的父亲
1.3,"女,结婚十年，孩子4岁，和丈夫的感情很不好，夫妻之间没有交流，他也不很关心我，对我很讨厌，不知道该怎么办",婚前还可以，婚后一年夫妻两地分居
1.3,女 小姨三姨都挺喜欢哥哥，根本就不关心我，爸爸妈妈也是，朋友们也不好，都是利益，我快13岁了，现在十分难受,
1.3,女 买了个多功能桌，老公不让买，可质量特别好，忍不住买了！给孩子当游戏桌，桌游桌使用。老公心理不高兴了！,不得不说宜家的东西质量太好 // 谢谢！
1.3,女 婆媳关系不好，每次吵架都是我的错，半夜不回家，打电话给他妈，他妈说他在加班，回家一身酒味，不辩是非，,总感觉他们是同一阵线 // 三年多了 // 她妈住在他上班的地方
1.3,爸爸妈妈要离婚，我14岁了，是个女孩子，但是我很不擅长安慰或者劝别人，看样子他们已经决定要离，我到底该怎么办？,请问我要怎样才能劝好他们 // 老师，我也认为是这样，我也知道他们是沟通不畅，但是双方都坚持自己的想法，无论怎样都不愿意承认对方的想法
1.3,女 家庭琐事，找了个不如意的老公，嫌弃我，嫌弃我家人，实际上比我大六岁小学没毕业，没文化，没素质，说我们家懒根,天天吵架 // 老师
1.3,女 常常想过了结自己的生命，总是自我感觉家人对我有偏见，觉得我这不好那不好，想和他们说话但觉得真的没有什么话题,老师你好 // 总觉得他们从来没看过我的优点 // 做的好的没提过，有一点事没做好就会吵 // 跟他们一说他们就开始数落我 // 根本没办法和他们沟通这类事
1.3,女 怀二胎了，总是控住不住脾气，尤其是当大宝哭闹的时候，心里烦闷特别容易暴躁，哄不好，就会动手打她，打完又很自责,我这种情况是不是心理有问题
1.3,女 当你遇到一个不讲理的人，但是你必须要和他沟通，怎样才能讲赢他。而且这个人是你的爸爸。一个对家庭不负责的爸爸。,让他无话可说 // 没有办法吗 // 不在乎 // 我对他只有恨 // 咋啦
1.3,男 我被学校安排到安徽滁州立讯有限公司实习，但是工资坑了一大半，现在不想上了，想上班，父母不同意，我应该怎么办？,我怎样给家长说他才会同意
1.3,"男,我今年13岁，家里开了水产店，今天到货了我妈妈说让我去帮忙干活，搬货，我就没去然后她就开始骂我，对我怒吼，我该怎么办",您说我该怎么办呀 // 我真的是太累了 // 这帮父母根本不知道我们学生每天要上网课，上完网课又得写作业的苦 // 可是我现在才13岁，才80斤，他就让我去搬30多斤的货物，
1.3,女 是一名高中生，对父母真的失望了，感觉被全世界抛弃了，妈妈刚刚打了我，爸爸回来也在指责，有好多话想说，但是说了也没用,最近因为上网课，就是接触手机比较多 // 语言暴力真的很可怕 // 真的好好跟他们谈，我说一句他们就有一百句来反驳我，跟我讲当初他们有多不容易，道理我也懂，但他们从来也不会听我的心声。我给他们写过信来表达自己的想法，但是看来毫无用处，对他们真的失望了 // 唉 // 老家在河南，在浙江生活了十多年，他们动不动一生气就说你回去吧，所以从小就是一个特别缺安全感的女孩，真的想离开这个地方，只是现在年龄太小没有资本
1.3,女 爸爸暴打暴骂女儿我，脏话超级超级难听这样好吗，从小到大都没感觉过一点点父爱，我家里都是重男轻女，我还有一个弟弟。可我,各位老师好，麻烦能帮我解一解吗，
1.3,女 就是觉得心里面很压抑，感觉家里人都不理解我，就是很喘不上气的那种感觉，也有点想自残的念想，有哪位专家可以帮我解答一下,我就是想知道自己心理是怎么回事，就是感觉喘不上气，我已经14了 // 家人不理解我
1.3,女 我老公有暴力倾向，我俩总是吵架，而且我们现在有一个八个月大的女儿，我想离婚，他不同意，每次一提离婚就打我，我该怎么办？,每次他打我打我就是掐我，拧我， 要不就大喊，我特别害怕吓到我孩子，报警的话事情只会越严重，他经常想到自杀，我都不知道该怎么办
1.3,女 我是不是患上产后抑郁症了？自从产后开始，情绪就老是容易激动，动不动就发脾气，一发脾气就拿孩子出气，感觉控制不了自己一样,不好，经常吵架，产后经常发脾气。 // 第一胎 // 不想要，意外怀孕，毕竟是第一胎。可老公想要，我也就随他了
1.3,男 我爸爸总是骂我和骂我妈爱喝酒我觉得他有抑郁症而且一星期发一次病清醒的时候对我们很好现在真的受不了了折磨我和我妈很久了,请问这属于精神疾病么 // 我觉得不是烦恼的事引起他总是动不动就打骂我们 // 现幻觉、妄想等精神病性症状。每次发作持续至少2周以上、长者甚或数年，多数病例有反复发作的倾向，每次发作大多数可以缓解，部分可有残留症状或转为慢性 // 这些症状同时都有的 // 好的
1.3,女 我是外婆，女儿在教育她孩子时。老是动手打宝宝，5岁女宝。我是外婆，感觉女儿在教育孩子时。情绪失控。不知咋办。请帮我。谢谢,老师 // 沟通不了。她不听劝！ // 感觉自己总是对的别人的话一点都听不进哎呦他的爷爷和我外对他这样暴力我们都敢怒不敢言。 // 她不接受咨询怎么办？ // 他情绪好的时候都可以但是一到失控的时候哎呦我们都怕的要死 // 我是外婆我女儿在教育小孩的时候情绪老是失控动手打小打小孩。我我们外婆还有爷爷奶奶看见他都怕的要死他太失控情绪 // 外甥女5岁
